,x,Fmin,y_at_min,z_at_min,ix,iy,iz
0,-6.95,25.59740052,1.15,4.25,0,11,42
1,-6.85,21.49534648,1.95,4.25,1,19,42
2,-6.75,22.86119721,1.95,4.35,2,19,43
3,-6.65,21.15141829,1.95,4.45,3,19,44
4,-6.55,19.65808611,1.95,4.15,4,19,41
5,-6.45,16.37347087,1.95,4.35,5,19,43
6,-6.35,17.93371832,1.95,4.35,6,19,43
7,-6.25,15.28678004,1.95,4.35,7,19,43
8,-6.15,15.06811079,1.95,4.25,8,19,42
9,-6.05,16.50957189,1.95,4.25,9,19,42
10,-5.95,16.02638849,1.95,4.25,10,19,42
11,-5.85,17.59418641,1.95,4.35,11,19,43
12,-5.75,17.00042912,1.95,4.35,12,19,43
13,-5.65,17.26243925,1.95,4.35,13,19,43
14,-5.55,16.91681397,2.05,4.25,14,20,42
15,-5.45,19.04005012,2.05,4.25,15,20,42
16,-5.35,19.36760801,1.95,4.25,16,19,42
17,-5.25,21.01823222,1.95,4.25,17,19,42
18,-5.15,21.69643931,1.95,4.25,18,19,42
19,-5.05,22.7236914,1.95,3.85,19,19,38
20,-4.95,22.08562593,1.95,3.85,20,19,38
21,-4.85,20.90928299,1.95,3.85,21,19,38
22,-4.75,21.90853199,1.95,3.85,22,19,38
23,-4.65,22.01409848,1.95,3.95,23,19,39
24,-4.55,22.02937901,1.95,4.05,24,19,40
25,-4.45,21.87138599,2.05,3.25,25,20,32
26,-4.35,21.84433461,2.05,3.25,26,20,32
27,-4.25,20.72512102,2.05,3.35,27,20,33
28,-4.15,20.41238109,2.85,3.25,28,28,32
29,-4.05,18.40198077,2.05,3.35,29,20,33
30,-3.95,19.64963628,2.05,3.25,30,20,32
31,-3.85,19.62440663,1.95,3.55,31,19,35
32,-3.75,21.82908044,2.85,3.25,32,28,32
33,-3.65,21.2008777,2.05,3.35,33,20,33
34,-3.55,20.8956421,2.85,3.15,34,28,31
35,-3.45,23.00945509,2.05,3.25,35,20,32
36,-3.35,24.00592325,2.05,3.05,36,20,30
37,-3.25,25.12001193,3.85,2.15,37,38,21
38,-3.15,24.70349732,3.75,2.05,38,37,20
39,-3.05,25.2809284,3.85,2.05,39,38,20
40,-2.95,26.31337243,3.85,2.05,40,38,20
41,-2.85,26.71715543,3.75,2.05,41,37,20
42,-2.75,26.15617083,5.55,0.25,42,55,2
43,-2.65,25.2638879,5.45,0.25,43,54,2
44,-2.55,23.80912964,5.65,0.15,44,56,1
45,-2.45,23.91853775,5.65,0.15,45,56,1
46,-2.35,26.37329994,3.85,2.05,46,38,20
47,-2.25,23.3928962,5.65,0.15,47,56,1
48,-2.15,21.58264823,5.65,0.15,48,56,1
49,-2.05,20.35540621,5.55,0.15,49,55,1
50,-1.95,22.04213672,5.65,0.15,50,56,1
51,-1.85,22.38272797,5.65,0.15,51,56,1
52,-1.75,21.73386892,5.75,0.15,52,57,1
53,-1.65,19.27957515,5.75,0.15,53,57,1
54,-1.55,21.06656863,5.45,0.15,54,54,1
55,-1.45,18.15713261,5.65,0.15,55,56,1
56,-1.35,19.10520292,5.55,0.15,56,55,1
57,-1.25,18.7577355,5.55,0.15,57,55,1
58,-1.15,18.08355089,5.65,0.15,58,56,1
59,-1.05,17.52764413,5.65,0.15,59,56,1
60,-0.95,20.01625016,5.65,0.15,60,56,1
61,-0.85,22.20529862,5.65,0.15,61,56,1
62,-0.75,22.72001851,5.65,0.15,62,56,1
63,-0.65,21.93192202,5.65,0.15,63,56,1
64,-0.55,23.52250463,5.65,0.15,64,56,1
65,-0.45,24.41668486,5.45,0.15,65,54,1
66,-0.35,23.63436953,5.55,0.15,66,55,1
67,-0.25,23.14400027,3.85,1.35,67,38,13
68,-0.15,21.18400801,4.65,1.15,68,46,11
69,-0.05,23.45525513,3.95,2.15,69,39,21
70,0.05,21.37798585,3.85,2.15,70,38,21
71,0.15,18.005197,3.95,2.15,71,39,21
72,0.25,20.26600929,3.95,2.25,72,39,22
73,0.35,20.43517702,3.85,2.15,73,38,21
74,0.45,16.67670949,3.85,2.25,74,38,22
75,0.55,17.11220559,3.85,2.25,75,38,22
76,0.65,17.31309377,3.85,2.15,76,38,21
77,0.75,17.15524733,3.85,2.25,77,38,22
78,0.85,18.29489472,3.85,2.15,78,38,21
79,0.95,18.23457202,3.75,2.15,79,37,21
80,1.05,17.70704223,3.75,2.25,80,37,22
81,1.15,18.43891557,3.85,2.25,81,38,22
82,1.25,15.93019347,4.55,1.25,82,45,12
83,1.35,17.33679114,4.55,1.25,83,45,12
84,1.45,17.37701984,3.75,2.25,84,37,22
85,1.55,17.02379944,3.95,2.15,85,39,21
86,1.65,16.76536852,3.85,2.15,86,38,21
87,1.75,16.50418009,3.85,2.25,87,38,22
88,1.85,16.45949032,3.95,2.25,88,39,22
89,1.95,17.5659511,3.75,2.25,89,37,22
90,2.05,18.04669358,3.75,2.15,90,37,21
91,2.15,16.68546401,3.75,2.35,91,37,23
92,2.25,15.96527047,3.85,2.25,92,38,22
93,2.35,15.89710834,3.75,2.25,93,37,22
94,2.45,14.50831013,3.75,2.25,94,37,22
95,2.55,16.82074548,3.75,2.25,95,37,22
96,2.65,16.3409568,3.75,2.35,96,37,23
97,2.75,16.76629216,2.85,2.35,97,28,23
98,2.85,16.47093944,2.85,2.25,98,28,22
99,2.95,16.47031668,2.95,2.25,99,29,22
100,3.05,17.18454418,2.05,3.45,100,20,34
101,3.15,15.98245152,2.85,3.35,101,28,33
102,3.25,16.21396783,2.85,3.45,102,28,34
103,3.35,14.22282829,2.85,2.95,103,28,29
104,3.45,13.85100295,2.65,3.15,104,26,31
105,3.55,11.80205876,2.65,3.15,105,26,31
106,3.65,13.0467663,2.75,2.55,106,27,25
107,3.75,11.94022526,2.85,3.15,107,28,31
108,3.85,11.09481738,2.85,2.45,108,28,24
109,3.95,9.652287798,2.85,3.35,109,28,33
110,4.05,8.970808471,2.85,3.15,110,28,31
111,4.15,8.551002379,2.85,2.65,111,28,26
112,4.25,10.24002948,2.85,2.55,112,28,25
113,4.35,8.460193705,2.85,2.55,113,28,25
114,4.45,9.178107777,2.85,2.55,114,28,25
115,4.55,9.924705657,2.75,2.45,115,27,24
116,4.65,11.13043887,2.85,2.65,116,28,26
117,4.75,9.316452184,2.85,2.55,117,28,25
118,4.85,9.684447556,2.85,2.45,118,28,24
119,4.95,7.871363019,2.85,2.55,119,28,25
120,5.05,8.299017272,2.95,2.35,120,29,23
121,5.15,9.246186097,2.85,2.45,121,28,24
122,5.25,9.575733447,2.75,2.65,122,27,26
123,5.35,9.793725148,2.95,2.45,123,29,24
124,5.45,7.988821086,2.85,2.45,124,28,24
125,5.55,9.973711424,2.95,2.55,125,29,25
126,5.65,8.736943609,2.85,2.45,126,28,24
127,5.75,7.555330083,3.85,1.25,127,38,12
128,5.85,7.308751438,4.65,1.25,128,46,12
129,5.95,8.798999182,3.85,1.25,129,38,12
130,6.05,7.40834429,4.65,1.35,130,46,13
131,6.15,7.791110842,4.75,1.25,131,47,12
132,6.25,5.847675521,3.85,1.35,132,38,13
133,6.35,2.895248826,3.95,1.25,133,39,12
134,6.45,4.461619483,4.45,1.25,134,44,12
135,6.55,5.89491559,4.55,1.25,135,45,12
136,6.65,4.91017511,3.95,1.25,136,39,12
137,6.75,2.427628427,4.65,1.15,137,46,11
138,6.85,1.835147512,3.85,1.25,138,38,12
139,6.95,0,3.95,1.25,139,39,12
