Energy,0.01946,0.05592,0.09239,0.12886,0.16533,0.2018,0.23827,0.27473,0.3112,0.34767,0.38414,0.42061,0.45708,0.49355,0.53001,0.56648,0.60295,0.63942,0.67589,0.71236
540.42,78.8724,245.914,299.71,301.601,324.199,309.564,259.925,245.704,268.198,327.607,421.814,635.919,980.541,1546.78,2221.84,2982.86,3700.52,4720.65,5072.07,4795.75
540.615,80.4398,267.745,336.6,344.219,370.875,348.564,296.3,276.953,304.213,369.291,476.221,720.912,1122.05,1749.44,2490.88,3299.31,4077.04,5017.97,5207.66,5825.47
540.811,78.4343,288.346,377.501,391.539,421.82,395.936,336.031,317.788,345.447,420.029,541.242,816.963,1281.85,1976.82,2788.11,3639.97,4493.8,5380.08,5476.81,7071.22
541.006,81.2456,313.387,429.421,441.791,479.896,451.075,382.087,365.581,396.183,480.487,620.39,931.203,1461.17,2235.6,3113.73,4010.46,4939.06,5765.73,5953.97,8061.18
541.201,85.2282,340.101,486.932,498.584,547.542,510.221,440.151,424.071,456.635,554.374,713.684,1068.39,1665.55,2528.48,3468.13,4440.25,5439.8,6136.99,6730.61,8672.67
541.397,89.0337,363.835,556.112,569.924,618.724,579.37,505.029,491.565,530.797,643.73,824.068,1234.11,1899.58,2854.84,3850.07,4913.65,6031.5,6683.38,7738.17,9422
541.592,90.0021,382.231,629.457,655.259,688.736,656.98,576.574,568.651,626.91,752.7,957.649,1435.42,2173.94,3213.06,4270.25,5418.25,6659.03,7358.94,8726.37,9790.81
541.788,91.3102,401.725,705.148,751.798,776.571,750.059,664.578,665.079,736.693,884.049,1117.91,1670.16,2492.41,3624.89,4760.91,5966.18,7275.77,8077.66,9451.41,9169.87
541.984,94.0004,421.266,781.45,866.714,880.946,868.393,771.057,773.761,859.057,1035.89,1308.06,1932.31,2853.76,4080.49,5323.01,6583.34,7900.64,8904.74,9980.32,8112.63
542.18,101.026,437.116,858.049,996.603,1012.06,1008.32,890.515,895.184,1005.52,1211.21,1532.11,2231.2,3266.7,4591.28,5974.28,7322.71,8573.46,9778.09,10478.6,7088.22
542.376,106.362,453.934,924.516,1134.31,1170.22,1147.22,1030.37,1035.97,1178.49,1411.66,1792.85,2564.65,3719.8,5141.74,6680.47,8116.86,9284.08,10598.5,11039.6,6375.54
542.572,117.525,471.587,967.083,1276.71,1337.97,1292.14,1186.57,1210.57,1371.44,1638.03,2084.96,2944.39,4202.06,5737.74,7409.92,8875.34,9995.43,11190.1,11761.3,6348.22
542.768,135.621,485.078,1001.76,1401.69,1491.41,1472.94,1372.23,1416.82,1578.14,1882.09,2409.64,3374.29,4712.86,6385.28,8163.05,9598.21,10730.8,11636.7,12558.1,7156.43
542.965,157.872,480.47,1026.38,1492.28,1623.76,1709.1,1568.02,1641.83,1807.41,2144.56,2756.87,3831.09,5253.66,7068.97,8908.72,10323.3,11460.1,12297.4,13350.8,8442.95
543.161,178.577,478.448,1032.57,1536.52,1787.02,1974.46,1775.78,1877.56,2054.7,2438.58,3129.92,4302.96,5827.93,7761.37,9658.19,11064,12177.6,13043.3,14089,10784.5
543.358,194.074,487.28,1013.71,1574.82,1956.74,2205.24,1988.29,2114.07,2324.47,2767.95,3545.38,4800.06,6409.35,8447.07,10373.8,11749.5,12815.9,13708.4,14744,13892.5
543.554,211.075,494.327,984.274,1593.18,2063.83,2395.13,2217.59,2360.41,2616.55,3142.79,3999.18,5343.44,7036.48,9156.86,11076.3,12436.5,13484.1,14609,15626.3,16860.5
543.751,215.599,489.786,941.432,1603.18,2102.61,2566.49,2435,2641.97,2920.69,3534.53,4458.87,5914.3,7712.55,9924.28,11735.8,13123.2,14257.6,15779.1,16919.7,19074.4
543.948,201.307,476.367,892.391,1562.99,2139.64,2722.94,2641.07,2943.48,3243.26,3966.05,4956.81,6512.17,8468.1,10761.8,12432.7,13871.5,15275.6,17128.4,17972.3,21221.3
544.145,179.709,443.636,815.488,1473.56,2175.27,2755.89,2815.89,3220.12,3574.83,4431.38,5502.43,7149.84,9268.15,11605,13175,14705.1,16365.6,18717.1,18797.3,23069.3
544.342,153.522,408.802,737.173,1341.06,2122.18,2699.96,3016.91,3501.72,3944.98,4916.8,6147.09,7898.07,10149.4,12496.5,14103.5,15701.4,17639.1,20570.5,19958,24183.6
544.539,132.472,364.367,671.907,1208.8,1995.3,2679.75,3192.51,3795.66,4343.57,5442.85,6870.37,8759.33,11125.3,13510.2,15230.3,17024.3,19247.3,22069.8,21509,23782.4
544.736,114.754,318.95,627.42,1112.1,1853.16,2707.96,3311.27,4106.82,4786.35,6050.47,7644.84,9733.65,12192.8,14695,16486.9,18624,21078.9,23445.7,23196.7,23463.1
544.934,98.9354,284.677,584.808,1048.31,1747.17,2737.33,3427.35,4416.87,5287.94,6709.04,8478.94,10806.8,13382.9,15993.7,17922.6,20362,22966.5,25269.3,24775.2,23392.2
545.131,86.3756,259.643,560.562,980.773,1664.66,2743.95,3601.69,4723.07,5826.47,7394.76,9375.68,11965.9,14683.4,17373.4,19587,22211.2,24773.2,26845.4,26161.6,23533.8
545.329,80.1297,243.095,538.441,934.508,1594.64,2746.43,3817.12,5028.65,6404.81,8145.32,10406,13180.8,16083.3,18845.1,21326.6,24065.6,26209.4,27733.3,26948.1,23987.6
545.527,79.1686,225.086,535.041,898.223,1501.97,2765.62,4004.77,5372.41,6913.99,8972.42,11548.2,14465.5,17548.4,20350.7,22989.9,25652.4,27494.6,28474.6,27452.5,25152.9
545.725,73.3026,216.551,537.254,880.95,1453.67,2775.87,4180.9,5819.49,7437.86,9853.88,12729.4,15847.2,19083.3,21892.8,24647.9,27079.6,29032.7,29534,28698.6,26784.6
545.923,70.1808,197.986,512.401,848.721,1459.54,2754.32,4359.87,6245.45,8081.59,10756.2,13912.6,17309,20626.1,23427.2,26259.6,28486.8,30367.2,30915.6,30528.3,27542.1
546.121,72.2916,185.77,473.992,834.493,1458.42,2761.77,4537.93,6660.75,8755.68,11664.4,15131,18813.1,22177.6,24953.9,27692.1,29814.4,31198.2,32250.6,31472.3,28136.6
546.319,69.6899,181.422,444.871,840.518,1456.32,2826.85,4753.83,7156.43,9420.47,12607,16435.5,20294.5,23720.3,26480.6,28940.9,30986.4,31900.8,33218.9,32002.3,29371.4
546.517,79.6264,181.512,422.81,816.873,1441.58,2944.68,5000.27,7728.68,10082.1,13595.9,17791.4,21721.6,25112.8,27880,30052,31973.4,32865.2,34600.5,32805.9,30112.6
546.715,81.948,191.159,399.819,802.151,1404.07,2949.27,5281.75,8269.68,10773.4,14656.1,19139.1,23144.5,26430,29179.7,31271.4,32812.9,34166.5,35998.3,34432,30138.3
546.914,86.2155,203.551,383.93,784.596,1370.07,2938.01,5502.08,8639.86,11450.6,15717.2,20444.8,24495.1,27660,30362.6,32291.5,33765.9,35241.1,37084.8,36153.6,31965.5
547.112,87.491,224.401,367.949,744.371,1347.4,2945.84,5807.4,9008.87,12106.9,16775.2,21681.7,25770.6,28880.5,31510.3,33250.1,34931.9,36480.5,37912,38079.6,35187.5
547.311,81.8059,227.628,333.657,715.426,1335.51,3029.37,6122.33,9561.85,12827.5,17835.6,22762.3,26889.4,30079.6,32654.6,34257.3,36015.9,37878.1,39133.1,39953.7,38188.2
547.51,85.1187,212.066,329.147,697.347,1356.28,3154.49,6344.33,10090.8,13562.3,18821.8,23786.5,27831.3,31128.3,33692.3,35274.8,37072.3,39167.4,41132.3,41171.6,40959.9
547.709,86.7744,203.41,324.854,690.1,1384.63,3305.81,6693.09,10508.3,14368,19782.1,24873.3,28742.2,32089.3,34736.9,36498.4,38462,40663.3,42830.8,42944.1,44104.7
547.908,93.0909,203.878,316.078,687.93,1438.98,3509.19,7176.9,10963.3,15242.6,20742.6,25883.5,29661.3,33000.1,35748.3,37863,40383.8,42467.5,43782.5,45015.6,53298.6
548.107,108.98,212.689,301.339,675.316,1509.65,3754.76,7615.76,11601.1,16102.7,21672.2,26828,30597,33953.6,36881.7,39329.3,42612.1,44571,45981.1,46127.2,54834.6
548.306,119.739,226.171,291.239,658.255,1610.41,3925.1,7959.97,12244.6,16915.8,22468.2,27683.7,31457.2,35043.4,38152.9,40966.3,44759,46951.6,48905.4,48123,52689.9
548.506,129.555,242.419,291.038,654.164,1691.8,4126.23,8410.63,12909.5,17714.6,23248.6,28474.2,32419,36175.9,39602.8,42896.5,46854,49320,51059.1,49464.3,52609.2
548.705,150.625,256.926,299.413,673.288,1820.52,4428.88,8994.11,13516.6,18430.1,24022.1,29320.7,33467.6,37362.6,41203.6,44967.8,49170.3,51896.4,53097,52650.9,50863
548.905,174.351,267.499,310.263,718.011,2013.88,4838.69,9541.99,14131.1,19029.2,24786.5,30226.8,34551.5,38596.2,42880.6,46991.5,51448.2,54535.9,55470,56327.9,49009.1
549.104,183.77,280.943,318.201,792.531,2215.84,5273.54,10065.9,14809.6,19622,25577.5,31048.9,35474.9,39865.4,44502.1,49037.8,53629.6,56532.8,57364,58958.3,53363
549.304,189.103,306.556,329.77,905.946,2443.37,5744.13,10567.2,15515,20240.2,26354,32001.1,36664.8,41144.4,46174.8,50964.1,55741.2,57963.7,59002.7,59457,63965.6
549.504,203.682,328.827,362.247,1036.25,2772.35,6222.55,11148.9,16009.2,20982.5,27121.9,32973.2,37749.3,42447.9,47914.8,52736.2,57328.7,59446.8,60655.7,61084.2,69326
549.704,230.312,353.453,418.562,1163.88,3176.92,6669.64,11854.2,16575.3,21794.6,27983.5,33908.8,38648,43691.8,49422.8,54297.8,58844.5,61302.4,63028.4,64095.1,66066
549.904,266.933,382.066,493.161,1355.23,3612.93,7145.48,12473.9,17363.3,22541.6,28805.1,34779.4,39501.1,44911.3,50740.4,55825,60074.5,62567.3,65770.3,66947.8,68692.5
550.104,300.304,413.925,578.122,1641.59,4155.67,7613.94,12974.4,18077.4,23269.6,29488.3,35689.6,40393,46169.3,51932,57195.3,61642.7,64658.9,68187.4,69007.9,71337.3
550.304,330.474,446.484,677.146,2001.86,4718.49,8237.38,13582.9,18564,23993.4,30174.1,36492.2,41387.1,47266.9,52979.5,58349.8,62990.5,65943.4,70441.1,72789.3,71077.8
550.505,342.677,481.419,799.224,2374.34,5211.33,8902.88,14341.3,19045.8,24461.2,30757.2,36894.7,42074.8,47687.6,53328.2,58768.4,64023.9,67117.3,71426.3,74168.2,69937
550.705,361.5,522.672,941.823,2748.28,5688.9,9555.05,14978.2,19635.7,24819.7,31219.5,37230,42549.3,47692.1,53278.5,59091,64858.2,68260.5,72044.5,72271.2,75104.9
550.906,381.34,574.649,1103.62,3143.72,6223.41,10328.8,15428.3,20112.8,25157.6,31600.5,37568.8,43001.5,47493.3,52936.5,59312.4,65451.3,69108.3,72088.3,72209.4,75400.8
551.107,399.707,647,1309.99,3568.13,6897.58,11032.2,16083.1,20549.2,25406.9,31907.6,37640,43088.6,47278.4,52622.3,59161.4,65529.6,69855.2,73525.8,72495.3,80085
551.308,419.008,730.34,1542.79,4046.36,7597.51,11592,16705.3,20899.6,25399.3,31839.5,37264.7,42586.6,46863.6,52115,58608.3,65054.2,70556.2,73887,68870.5,89188.2
551.509,427.368,823.988,1803.48,4509.69,8288.73,12225.9,17272.5,21032.5,25454.9,31536.6,36767,41677.3,46205.5,51210.3,57592.4,64490.6,70065.3,72293,65757.7,94002.9
551.71,431.008,924.66,2084.37,4924.98,9061.36,12933,17761.2,20961.4,25563.5,31058.5,36292.8,40742.8,45260.5,50213.3,56183.1,63603.4,68384.6,72271.6,65394.1,87447.4
551.911,422.762,1027.17,2378.12,5340.75,9895.24,13684,18113.3,20856.3,25254.3,30372.2,35474.4,39514.2,43840.5,48497.1,54343.7,61762.7,65843.4,71688.7,68883.8,73343.6
552.112,408.928,1144.36,2693.9,5776.74,10664.9,14316.3,18186.8,20626.9,24708,29499.5,34291.8,37977.1,41982.4,46230.2,52168.9,59102.6,63455.5,70552.1,71655.7,79741.8
552.314,405.175,1255.77,3022.67,6221.77,11191.3,14837.7,17932,20257.3,24074.6,28217.2,32590.4,36054.9,39828.6,43932.6,49218.9,55788.7,60514,67656.2,67085.6,72892.6
552.515,410.961,1362.9,3362.03,6700.74,11480.3,15095.6,17821.6,19826.1,23361.5,26857.3,30506.7,33875.3,37503.6,41174.7,45946.1,52167.6,57658.8,62630.9,62581.1,73082.3
552.717,412.223,1451.54,3655.87,7205.64,11784.5,15148.5,17631.6,19223.7,22502.2,25348.4,28345.3,31522.3,34795.6,38148.8,42369.3,48379.1,54320.8,57897.6,60054.2,75976.7
552.918,415.312,1531.01,3919.93,7631.71,12030.1,14996.9,17069,18351.2,21456.1,23604.7,26088.9,28876.8,31621.5,34996.7,38370.3,43890.8,50278,52258.6,60947.9,75845.8
553.12,420.603,1638.94,4164.68,7931.99,12177,14760,16280,17373.6,20293.4,21805.7,23822,26226.8,28367.4,31693.4,34416.8,39492.5,45651.1,48072.3,63391.8,76384.4
553.322,439.685,1736.44,4320.72,8035,12150.7,14209.9,15449.7,16212.4,18774.6,19918.6,21482.6,23340.1,25174.8,28029.8,30427.3,34745,40874.9,44630.2,60244.5,69551
553.524,460.901,1814.65,4385.47,7999.78,11954,13358.3,14518.9,14846.1,17181.6,17869.4,18996,20346.8,21913.1,24022.4,26420.3,29966.5,35659.6,40169.4,54514.1,54346.2
553.727,483.682,1888.17,4401.08,7805.68,11545.7,12361,13591.7,13537.5,15561.4,15801.9,16389,17449.3,18568.6,20073.3,22532.8,25414,30464.9,34130,46898.8,38175.2
553.929,489.671,1942.55,4347.46,7475.11,10841.3,11431,12522.7,12272.6,13892.3,13677.2,13821.7,14587.2,15413.5,16405.6,18748.4,20840,25381.3,28595.4,37591.4,28100.4
554.131,500.955,1952.54,4350.17,7153.24,9952.44,10572,11227.2,11060.6,12108.2,11578.3,11454.4,11810.2,12536.8,13212.9,15101.4,16738.1,21024.5,23665.7,31005.2,20761.8
554.334,490.684,1928.25,4301.49,6804.1,9014.99,9779.44,9924.31,9907.01,10263.3,9585.3,9311.36,9364.66,10017.2,10458.7,11860.1,13311.7,17236.8,19824.3,26164,18065.1
554.536,465.027,1850.78,4113.74,6374.19,8144.21,8930.67,8795.08,8616.52,8545.29,7785.4,7392.82,7341.9,7805.4,8114.22,9182.16,10503.3,13663.2,16191.8,22143.9,20239.1
